id,epic,priority,owner,name,story,acceptance_criteria,related_issues,subtasks,defects,status,allocated_to,scrum,source
D8,D,P0,BE/FE,"I can find the work I am able to do, and take it","As an annotator, I want to open the platform and see the items I can work on right now, because otherwise there is no answer to “what should I do next” — and as a project manager I want the queue itself to route work by role and by how many people an item still needs, rather than handing items out to named people one by one.","1. I can see the items I am able to work on, filtered to what my role allows, and open one directly from the list.
2. An item leaves the annotate queue once it has as many human submissions as its task requires, so I never start work that can no longer be submitted. The AI's first pass is not one of them.
3. A reviewer is never offered an item they annotated themselves, and a second review never goes back to the first reviewer — independence is a property of the queue, not of who was assigned.
4. An item shows how many people are working it and how many have submitted, so I can see it is covered without opening it.
5. Everything a person does to an item is recorded against them in its history, even though nobody handed it to them.
6. Before I submit, I cannot see what other annotators submitted on the item — only how many have. This holds in the API, not only on the screen.","No open defects catalogued, because the concept is absent rather than broken: there is no queue of any kind, so an annotator has no way to find work except by scrolling the item list.
**Client decision, 2026-09-17** — a task owner does **not** hand specific items to specific annotator accounts. Work is self-served from role-checked queues, and the per-task annotator count is what limits how many people work an item. This replaces assignment, which was this story's original premise: there is no assignee field, no individual or bulk assignment, and no reassignment.
**Client answer, 2026-09-17** — the number of annotators an item needs is chosen when the task is created; each annotator keeps their own draft and sees only their own; drafts are not capped, but a submission is refused once that many people have submitted.
**Client answer, 2026-09-21** — the required number is of independent human judgements, and an AI first pass is separate from it: one successful AI annotation is enough unless a task explicitly defines a multi-model experiment. Annotators must not see earlier judgements before submitting their own; showing progress such as 2/3 is fine. This withdraws our decision of 2026-09-18 that an AI submission counts as one of the required annotators.
This is a prerequisite the rest of the epic quietly assumes. **D7** samples a share of items for a second, independent review and **E2** returns an item to the annotate queue — both need the queue to exist, though neither needs an assignee any more.","1. Build role-checked queue endpoints: annotation work, review work, adjudication work.
2. Add a required-annotators count to the task, chosen at creation, that submissions are counted against.
3. Refuse a human submission once the item already has as many as its task requires — in the API, not only in the web app. The AI's annotation is neither counted nor refused.
4. Drop a full item out of the annotate queue, and keep a reviewer's queue clear of items they are not independent of.
5. Build the available-work list in the web app, with the 2 of 3 progress and Annotate greyed out at the limit.
6. Show how many people are working an item and how many have submitted.
7. Record who took and who submitted each item in its history.",,working,"Kanishka Kathait, Parth","SCRUM-48, SCRUM-52, SCRUM-93",shipped
D9,D,P1,BE/FE,The project owner can deliberately reopen a finalised item,"As a project owner, I want to reopen a finalised item when its answer needs to be redone, keeping the old answer in its history, because finalised should mean locked against accidents — not locked against a deliberate, recorded correction.","1. Only the project owner can reopen a finalised item; the action requires a reason and is attributed.
2. A reopened item returns to the normal open workflow for new annotation and review, not to the previous review step.
3. The previous finalised answer remains in the item's history as a superseded version; it is never overwritten or deleted.
4. Anyone else attempting to reopen is refused on the backend, not only hidden in the UI.","No open defects — the other half of **D5**, whose criterion 2 (reopening is a visible, attributable action) was never built: D5 delivered the refusal only.
**Client answer R2-3 (2026-09-24)** — “The project owner may reopen a finalised item directly.” Annotators, reviewers and experts may request reopening; by Hanchen's reply of 2026-09-24 that request workflow is **out of scope** for now, to be added only if every existing story finishes early.
**R2-1** — an expert's Return sends an item back to the open workflow the same way, so E3 reuses this path.","1. Add a reopen action on a finalised item, gated on a project-owner capability and requiring a reason.
2. Mark the finalised answer superseded rather than editing it, and record the reopen as a provenance event (F1).
3. Return the item to the available-work list (D8) with its annotation and review requirements reset for the new round.
4. Show the reopen button to the project owner only, with the superseded answer visible in the item's history.
5. Test: a reviewer's reopen is refused; the owner's reopen keeps the old answer and makes the item claimable again.",,,Hanchen Wang,SCRUM-110,added
E1,E,P0,BE,Disagreement is noticed without anyone reporting it,"As a project manager, I want the platform to detect when two reviewers disagree and open a dispute automatically, because disagreement I have to find manually is disagreement I will miss.","1. When independent reviews on the same item conflict, a dispute is raised automatically.
2. The dispute shows both conflicting decisions and who made them.
3. Disputed items are visible in one place and are excluded from release until resolved.",No open defects — net-new. Our own design notes are explicit that dispute should default to auto-detected disagreement rather than being a complaint button.,"1. Detect conflicting independent reviews on the same item and open a dispute without anyone reporting it.
2. Show both conflicting decisions and who made them on the dispute.
3. List disputed items in one place, scoped to what the viewer may see.
4. Exclude disputed items from release until they are resolved.",,,"Parth, Yi Geng","SCRUM-49, SCRUM-51, SCRUM-101",shipped
E2,E,P0,FE,I can send an item back to the annotator,"As an expert, I want to send a disputed item back to its annotator with a note, because not every dispute should be settled by me overruling — sometimes the right outcome is the original annotator redoing it with guidance.","1. “Send back to annotator” works from the dispute screen and is not a placeholder.
2. The item returns to the annotator's queue with my note attached.
3. The send-back appears in the item's history with who sent it back and why.","**Issue 15** (dispute “send back to annotator” isn't implemented) — users currently hit a placeholder message. issues.md confirms the platform already fully supports this behind the screen and has a ready client function for it, so this is a frontend-only story: wiring the existing button to the existing capability closes the defect.","1. Replace the ""not wired yet"" guard at task-dispute-desk.tsx:93 with the call the page already has (issue 15).
2. No backend work — POST /tasks/{id}/task-items/{id}/escalations/decision already accepts send_back, and lib/api/review-actions.ts:55 already types it.
3. Attach the expert's note and return the item to the annotator's queue.
4. Record who sent it back and why in the item's history.
5. Test the round trip: the item reaches expert_send_back and shows as ""Returned"" in the annotate queue.",15,done,Parth,SCRUM-35,shipped
E3,E,P1,BE,An expert's decision is recorded as its own decision,"As an expert, I want my adjudication recorded as a distinct decision that references the dispute it settles, because “who routed this to me” and “who decided it” are different facts and collapsing them destroys the audit trail.","1. An adjudication is a separate record from the routing that requested it.
2. It references the item, the dispute, and the conflicting decisions it resolves.
3. It records one of three outcomes, with a required reason: Accept (one existing judgement becomes the resolved answer), Return (the item goes back to the open workflow for new annotation and review) or Reject (the dispute is closed without a winner and nothing follows automatically).
4. The adjudication is final for that dispute — the item does not go back to a reviewer for another decision.
5. The annotator's original label, the reviewers' decisions and my adjudication all remain individually visible afterwards.
6. I cannot adjudicate a dispute about work I annotated or reviewed.","No open defects — net-new. This is the brief's requirement that annotator label, reviewer decision and adjudicated judgment are “preserved rather than collapsed into one final answer field.”
**Client answer R2-1 (2026-09-24), correcting the answer of 2026-09-17** — an adjudication no longer goes back to the reviewer: the expert Accepts, Returns or Rejects, and that is final for the dispute. “Resolved” need not mean one answer won — an item may be resolved as genuinely ambiguous. **R2-8** — an arbitrator may not arbitrate work they annotated or reviewed.","1. Record an adjudication as its own record, separate from the escalation routing that requested it.
2. Reference the item, the dispute, and the conflicting decisions it resolves.
3. Keep the annotator's label, the reviewers' decisions and the adjudication individually visible afterwards.
4. Record the outcome — Accept, Return or Reject — with a required reason; Accept canonicalises the chosen judgement through the adjudication.
5. Return reuses D9's reopen path; Reject leaves the item unresolved for the project owner to handle.
6. Refuse an adjudication by anyone who annotated or reviewed the disputed work.",,,"Parth, Hanchen Wang","SCRUM-52, SCRUM-99",shipped
E4,E,P1,BE,Resolving a dispute doesn't erase the disagreement,"As a client, I want a resolved item to still show that people disagreed and how it was settled, because disagreement is evidence about the item's difficulty, and deleting it hides exactly what I most need to know.","1. Resolving a dispute adds a resolution; it never deletes or overwrites the conflicting decisions.
2. A resolved item's history still shows the original disagreement.
3. Reports can distinguish items that were contested from items that were unanimous.
4. A dispute may be resolved as ambiguous or unresolved; that outcome is recorded as such, not forced into a winning answer.","No open defects — net-new, and a stated non-negotiable in our governance documents (“disagreement is first-class… must be preserved, not collapsed”).
**Client, 2026-09-24** — the principle stated before Round 2: “Disagreement is not merely an exception that the workflow should eliminate. It is first-class, high-value data.” A canonical answer is a production outcome; the disagreement lineage is a research and evaluation asset.","1. Add a resolution rather than overwriting or deleting the conflicting decisions.
2. Keep the original disagreement visible in the item's history after resolution.
3. Let reports tell a contested item from a unanimous one.
4. Test that resolving a dispute deletes nothing.
5. Record an ambiguous/unresolved resolution as its own outcome, so a release can exclude or carry it (H3, H4).",,,Hanchen Wang,SCRUM-100,shipped
E5,E,P1,BE,Escalation matches the assurance my project needs,"As a project manager, I want to configure whether disputes must reach an expert, may reach one, or never do, because a routine labelling task and an arbitration-ready project need different escalation rules.","1. I can set the escalation posture when configuring the project or task.
2. Where an expert gate is required, an item cannot complete without an expert decision.
3. The posture in force is visible on the project.","No open defects — net-new. The escalation gate values exist internally but are not selectable or enforced; see **G2** for the wider posture enforcement this depends on.
**Client answer R2-8 (2026-09-24)** — Arbitration-ready is a guarantee, not a likelihood: “if a dispute occurs, it must reach independent adjudication”, stored as an explicit rule. This story makes that rule selectable and visible; G2 enforces it.","1. Make the escalation posture selectable when configuring a project or task.
2. Where an expert gate is required, block completion until an expert has decided.
3. Show the posture in force on the project.
4. The gate values already exist on OrganizationPolicyDB and are never enforced — the enforcement itself is G2.",,,,SCRUM-107,shipped
E6,E,P0,FE,The dispute and arbitration screens show my real cases,"As an expert, I want the dispute and arbitration screens to show the actual disputed items from my projects, because they currently display sample data — so everything Epic E builds underneath is invisible to the person who has to act on it.","1. The project dispute list, the individual dispute view and the arbitration view all show real cases from the backend, scoped to what I'm allowed to see.
2. The task-level dispute and finalised views show that task's real items.
3. Actions taken on these screens change real state, and the change is visible on refresh.
4. No screen in the dispute or arbitration path renders placeholder content.","No open defects catalogued — the screens work, they're just not connected. Verified: tasks/[taskId]/dispute, tasks/[taskId]/finalized, projects/[projectId]/disputes and the standalone dispute/arbitration views contain no live-data calls at all, while the overview, items, annotate and review screens do.
This is the second of the four agreed objectives (“every screen backed by real, correctly-scoped data rather than partially-wired endpoints”) and without it Epic E is backend work nobody can see.","1. Verify rather than rebuild: the task dispute and finalized desks already read live data.
2. Build or delete the three routes that return notFound() — /disputes/[id], /arbitration/[id] and /exports/[id] — and record which and why.
3. Scope every dispute list to what the viewer is allowed to see.
4. Confirm an action taken on these screens changes real state and survives a refresh.
5. Offer the expert Accept, Return and Reject, each with a required reason, on the arbitration view (E3, R2-1).",,,Parth,"SCRUM-52, SCRUM-103",shipped
F1,F,P0,BE,I can ask how any label came to exist,"As a client, I want to open any item in a delivered dataset and see the full sequence that produced its label, because a dataset that can't answer that can only be shipped, not defended.","1. Each item shows an ordered record of: what it came from, what the AI suggested, what the human did with that suggestion (accepted, modified, rejected or replaced), every review decision, and any dispute or adjudication.
2. Each entry names who did it and when.
3. The record is captured as the work happens, not reconstructed afterwards.","No open defects — net-new. Only a generic activity log exists today, holding opaque before/after values rather than a structured account of the workflow.","1. Add a provenance event record distinct from AuditLogDB (db_models.py:127), which holds opaque before/after blobs.
2. Cover the ordered kinds: source registered, AI suggested, human responded, reviewed, disputed, adjudicated, released.
3. Distinguish the human response — accepted, modified, rejected or replaced.
4. Write events at the point of decision rather than reconstructing them afterwards.
5. Name the actor and the time on every entry.",,,Yi Geng,SCRUM-98,shipped
F2,F,P1,BE,Annotations remember which guideline and policy they followed,"As a project manager, I want to update annotation guidelines and review policies without rewriting history, because when I revise either mid-project I need to know which items were labelled or reviewed under the old one.","1. Updating a guideline, a source or a review policy creates a new version rather than replacing the current one.
2. Every annotation records the guideline and source version in force when it was made, and every item records the policy version that governed it.
3. I can see which items were annotated or reviewed under a superseded version.","No open defects — net-new. There is no versioning of any kind today, which is also what makes the “superseded version” release check in **H3** impossible to build until this exists.
**Client answer, 2026-09-21** — policies may evolve after a project starts as new versions; the system must preserve which policy version applied to each item so its annotation, review and release history stays traceable. Guideline versions change instructions, not the output structure — a new structure is deliberate engineering (client answer R1-5).","1. Version guidelines, sources and review policies instead of replacing them in place — there is no versioning of any kind today.
2. Record the guideline and source version in force on every annotation, and the policy version on every item.
3. Let a manager see which items were annotated or reviewed under a superseded version.
4. Sequence before H3 — its superseded-version check cannot be built until this exists. H2's manifest cites the policy version.",,,,SCRUM-53,shipped
F3,F,P0,BE,"The AI's suggestion, the human's answer and the reviewer's correction stay separate","As a client, I want to see the AI's suggestion, the annotator's decision on it and any reviewer correction as three distinct facts, because collapsing them into one value destroys the only evidence of what human judgement actually contributed.","1. All three are individually retrievable for any item.
2. A later correction never overwrites the earlier record — it supersedes it visibly.
3. The export identifies which value is authoritative and shows what it superseded.","**Issue 5** (reviewer corrections aren't saved) — **D3** makes corrections land; this story makes them land without destroying the original, which is the other half of the same defect.
**Issue 4** (a finalised item can export more than one conflicting answer) — “the export identifies which value is authoritative” is precisely the missing concept; see **H4** for the export-side change.","1. Keep the AI suggestion, the annotator's decision and any reviewer correction individually retrievable.
2. Make a later correction supersede visibly rather than overwrite — D3 makes the correction land, this keeps the original (issue 5).
3. Mark which value is authoritative in the export, and show what it superseded — the missing concept behind issue 4.
4. Depends on the canonical-annotation decision taken in D4.","4,5",,,SCRUM-38,shipped
F4,F,P1,BE,History tells me who really did what,"As a project manager, I want the history to distinguish what a person did from what the platform did automatically, because an audit trail that attributes automated steps to people is worse than none.","1. Automated actions are shown as system actions, not attributed to a user.
2. The history reads cleanly — one entry per thing that happened, without a change entry repeating what the summary already says.
3. I can filter an item's history to just the human decisions.","**Issue 21** (audit log always shows “user” as the actor) — criterion 1 requires the actor to reflect what actually happened, which is the fix.
**Issue 22** (escalation entries duplicate their own summary as a change) — criterion 2 removes exactly this noise from the history view.","1. Set actor_kind from what actually happened — task_audit_log_query.py:255 hardcodes ""user"" even when the display name is System (issue 21).
2. Stop escalation entries repeating their own summary as a change (issue 22).
3. Let an item's history be filtered to human decisions only.
4. Test that a system-generated entry is never attributed to a person.","21,22",,,"SCRUM-40, SCRUM-41",shipped
F5,F,P1,FE,I can see an item's whole story on one screen,"As a reviewer, I want to see an item's full timeline before I make a decision, because deciding without knowing that two people already disagreed about it is how bad decisions get made.","1. The item view shows its history in order: annotation, reviews, disputes, adjudication.
2. Each entry shows who, when and what changed.
3. I can reach the item's history from the review screen without losing my place.",No open defects — net-new; depends on **F1**.,"1. Show the item's timeline in order: annotation, reviews, disputes, adjudication.
2. Show who, when and what changed on each entry.
3. Reach the item's history from the review screen without losing your place.
4. Sequence after F1 — the timeline has nothing to read until provenance events are being written.",,,Yi Geng,SCRUM-106,shipped
G1,G,P0,BE,My role determines what I can do,"As an organisation administrator, I want a person's role to determine which actions they can take, because at the moment being a member of the organisation is enough to do almost anything, which makes the roles I assign decorative.","1. Approving, disputing, adjudicating and releasing each require the appropriate role.
2. A user without the required role is refused with a clear message rather than silently allowed.
3. Adding a new role later doesn't require reworking the workflow.",**Issue 7** (annotators can approve their own work) — **D1** blocks self-review specifically; this story generalises the same enforcement across every governed action so the gap doesn't simply reappear on the next endpoint.,"1. Add a capability check that reads RoleAssignmentDB.role_key — app/core/permissions.py verifies tenancy only, and nothing anywhere checks a role before an action.
2. Require the appropriate capability for approving, disputing, adjudicating and releasing, so issue 7 cannot reappear on the next endpoint.
3. Refuse without it, with a message that says what was needed, rather than allowing it silently.
4. Keep the model extensible so adding a role later does not mean reworking the workflow.
5. Coordinate with G3 — both stories change the same permission layer.",7,done,Jingwei Lin,"SCRUM-44, SCRUM-52",shipped
G2,G,P1,BE,My project's governance posture actually governs,"As a project manager, I want choosing dual sign-off, expert gate or arbitration-ready to genuinely change what the workflow requires, because otherwise I've selected a label that reassures me and enforces nothing.","1. Dual sign-off requires the configured number of approvals from different reviewers before an item can finalise.
2. Expert gate prevents completion until an expert has approved.
3. Arbitration-ready guarantees unresolved disagreement reaches arbitration rather than quietly defaulting.
4. The posture in force is visible on the project and in the export record.
5. The policy stores expert gate and adjudication-mandatory-on-dispute as explicit fields, not as preset names.
6. No expert confirms or adjudicates an item they annotated or reviewed.
7. The AI first pass never counts as an approval, and no item finalises on AI output alone.","No open defects — net-new enforcement. Our own terminology documents describe these three postures as “signals, not separate workflow engines,” which is an accurate description of the gap: they are recorded and never applied.
**Client answer R2-8 (2026-09-24)** — define the postures “by what authority is required before an item may be resolved/canonicalised, rather than as UI presets”. Standard: one reviewer approval. Dual sign-off: two independent approvals, cross-review may supply the second, disagreement enters dispute. Expert gate: every item needs expert confirmation (annotation → review → expert gate → canonical); with one reviewer plus the gate, cross-review defaults to 0%. Arbitration-ready: “if a dispute occurs, it must reach independent adjudication” — an explicit rule/field. **R2-7** — the AI first pass is not an approval or reviewer slot.","1. Enforce dual sign-off: the configured number of approvals from different reviewers before an item can finalise.
2. Enforce the expert gate: no completion until an expert has approved.
3. Enforce arbitration-ready: unresolved disagreement reaches arbitration rather than quietly defaulting.
4. Show the posture in force on the project and in the export record.
5. The three postures are recorded and never applied — docs/terminology calls them ""signals, not separate workflow engines"".
6. Add the expert-gate and adjudication-mandatory fields to the policy and B2's ResolvedPolicy; default cross-review to 0% under expert gate.
7. Extend D1's self-approval guard to expert confirmation and adjudication.
8. Refuse canonicalisation from an AI-authored result that no human has reviewed, with a test.",,,Jingwei Lin,SCRUM-50,shipped
G3,G,P0,BE,My work stays inside my project,"As an organisation administrator, I want a person with access to one project to be unable to change anything in another, because access to a single low-risk project currently lets someone modify tasks and items in projects they were never given access to.","1. Changing or deleting a task fails unless it genuinely belongs to the project it was requested under.
2. The same applies to changing an item within a task.
3. Attempts across a boundary are refused, not silently applied.","**Issue 9** (cross-project/cross-org write bypass) — a duplicated route means the check that would catch this is never reached. The story's criteria can only pass once the live path performs the ownership check, which also removes the shadowed duplicate.","1. Delete the shadowing duplicate PUT and DELETE /projects/{id}/tasks/{id} at projects.py:176 and :213 (issue 9).
2. Keep the tasks.py:56 version, which checks the task belongs to the project named in the URL; projects.py is mounted first and wins today.
3. Apply the same ownership check to task-item updates.
4. Test that a member of project A cannot update or delete a task, or patch an item, in project B.",9,done,Jingwei Lin,SCRUM-21,shipped
G4,G,P1,BE/SC,The platform refuses states that can't exist,"As a project manager, I want the platform to reject an impossible item state outright, because a nonsense status stored permanently makes my counts, filters and progress figures lie from then on.","1. An invalid status is rejected before anything is stored.
2. The rejection explains what the valid options were.
3. No item can be left in a state the workflow doesn't recognise.","**Issue 10** (invalid task status values get saved to the database) — the value is currently committed first and only rejected when the response is built, so the bad data survives. Criterion 1 inverts that order, which is the fix.","1. Type TaskItemStatusUpdate.status — it is a bare str at app/api/routes/tasks.py:52 (issue 10).
2. Validate before writing rather than after the commit; the bad value survives in the database today.
3. Return the valid options in the rejection so the caller can correct it.
4. Test that an invalid status never reaches the database.",10,done,Dishank Aswal,SCRUM-22,shipped
G5,G,P0,BE,I can actually invite someone into my organisation,"As an organisation administrator, I want to invite a colleague and have them successfully join, because today no invitation can be accepted at all — which means I cannot onboard a second person through the normal route.","1. I can send an invitation and see it listed as pending.
2. The invited person can accept it and gain access.
3. What I'm shown about an invitation's state matches its real state.","**Issue 17** (organisation invitations are completely broken) — invitations are created as already-accepted internally while reporting “pending,” and acceptance always fails on a broken token contract. Criteria 2 and 3 cannot pass while either remains.
**Issue 18** (pending-invitation listing unreachable behind a duplicate route) — criterion 1 requires the pending list to be reachable; issues.md notes neither defect is testable end-to-end without the other, so they are fixed together here.","1. Stop creating invitations as already accepted — invite_member sets membership ACTIVE with accepted_at while the response says pending (issue 17).
2. Issue a real invitation token carrying the org_id and sub claims the accept endpoint at members.py:205 reads (issue 17).
3. Confirm the pending-invitation list is reachable now the router mounts invitations at its own prefix (issue 18 looks closed — verify).
4. Test the whole route: invite, shows pending, accepted by the invitee, access granted.","17,18",done,Tim Chung,SCRUM-8,shipped
H1,H,P0,BE,A release is a fixed thing I can point at,"As a client, I want a release to be a permanent, unchanging artefact, because a “release” that silently changes when someone edits an item afterwards is not something I can hand to anyone.","1. Releasing a dataset produces a stored artefact capturing the items as they were at that moment.
2. Later changes to the underlying items do not alter an existing release.
3. Each release is identifiable and re-downloadable unchanged.","No open defects — net-new. Today's export list is derived live from task status; nothing is ever written or frozen, so there is no defect to fix, only a capability to build.","1. Add a release record storing the items as they were at the moment of release.
2. Make later changes to the underlying items leave an existing release untouched.
3. Give each release a stable identifier and an artefact that can be downloaded again unchanged.
4. Today's export list is derived live from task status in project_exports_service.py:20 — nothing is ever written or frozen.",,,,SCRUM-102,shipped
H2,H,P0,BE,Every release explains what's in it,"As a client, I want each release to come with a manifest describing exactly what it contains, because I need to verify a dataset independently rather than take its contents on trust.","1. The manifest lists item count, the guideline and source versions covered, when it was produced and by whom.
2. Each item in the release points to its provenance record.
3. The release's contents can be checked against its manifest.",No open defects — net-new; depends on **F1** and **F2**.,"1. Write a manifest carrying item count, the guideline and source versions covered, when it was produced and by whom.
2. Point each item in the release at its provenance record.
3. Let the release contents be checked against the manifest independently.
4. Sequence after F1 and F2 — the provenance pointers and the version list both come from them.",,,,SCRUM-104,shipped
H3,H,P0,BE,A release that shouldn't exist is refused,"As a client, I want the platform to refuse to produce a release containing unreviewed items, missing provenance or superseded versions, because a warning attached to a bad release is not a safeguard — by then the bad release exists.","1. The checks run before anything is produced, and failure means no release is created.
2. I'm told which items caused the refusal and why.
3. The gate cannot be satisfied by someone asserting that review happened — it is checked against the recorded decisions.","No open defects — net-new, and the brief's sharpest requirement: gated “before the release exists,” and explicitly not satisfiable “by an operator asserting that review happened.”","1. Run the checks before anything is produced — a failure must mean no release is created.
2. Refuse on unreviewed items, incomplete provenance, or superseded versions.
3. Name the items that caused the refusal and why.
4. Check against the recorded decisions, never against an operator asserting that review happened.",,,,SCRUM-105,shipped
H4,H,P0,BE,Every released item has exactly one authoritative answer,"As a client, I want each item in a release to carry one answer marked as the authoritative one, because an export containing two conflicting “final” answers for the same item is unusable for training and indefensible to an auditor.","1. Each released item carries at most one authoritative value; an item resolved as ambiguous carries none and is marked as such.
2. Where other submissions existed, they appear as superseded history — never as competing answers.
3. The authoritative value matches what the review and adjudication record says it should be.","**Issue 4** (a finalised item can export more than one conflicting answer) — the export currently tracks one slot per annotator rather than one canonical value per item. Criterion 1 makes that impossible; it depends on the canonical-answer decision taken in **D4** and the supersession model in **F3**.
**Client answer R2-2 (2026-09-24), follow-up F1** — “release output = authoritative resolution, release provenance = complete judgement history”. Keep every version with its provenance, distinguished from the released result; “do not flatten the history into only the final answer”.","1. Carry exactly one authoritative value per released item (issue 4).
2. Show other submissions as superseded history, never as competing answers.
3. Match the authoritative value to what the review and adjudication record says it should be.
4. The export tracks one slot per creator rather than one canonical value per item, which is how two answers reach one item.
5. Depends on D4's canonical decision and F3's supersession model.",4,,,SCRUM-37,shipped
H5,H,P1,BE,Export figures agree with the rest of the platform,"As a project manager, I want the export list to report the same progress I see on the task, because two screens disagreeing about the same task tells me one of them is wrong and I don't know which.","1. Export readiness and item counts use the same completion rule as the task itself.
2. A task marked complete never produces an export reporting zero completed items.
3. Export behaviour is covered by tests that actually run, so this can't silently regress.","**Issue 19** (completion and export readiness disagree on “done”) — resolved jointly with **B6**, which unifies the rule; this story is the export-side half.
**Issue 27** (impossible “approved” status in the eligibility list) — removed while unifying the rule.
**Issue 14** (backend export tests fail to even run) — criterion 3 requires working export tests, which means implementing the missing helper the existing test file already specifies; until then export behaviour is entirely unverified.","1. Use the same completion rule as the task itself, unified in B6.
2. Make sure a task marked complete never produces an export reporting zero completed items (issue 19), and drop the impossible ""approved"" status while unifying the rule (issue 27).
3. Confirm tests/test_task_exports.py runs — all three helpers it imports now exist, so issue 14 looks closed; verify it.
4. Add tests covering export eligibility so this cannot silently regress.","14,19,27",done,Dishank Aswal,SCRUM-43,shipped
H6,H,P0,FE,"The export, policy and history screens show real data","As a project manager, I want the export, policy and history screens to show my project's actual releases, actual policy and actual activity, because a screen showing sample data is worse than no screen — it tells me something confidently and it isn't true.","1. The project export list and individual export view show real releases produced by H1.
2. The project policy screen shows the policy actually in force, as set in B2, and the governance posture from G2.
3. The task history and setup screens show that task's real activity and real configuration.
4. Figures on these screens agree with the task screen and the dashboard.","No open defects catalogued — same situation as **E6**: verified that projects/[projectId]/exports, projects/[projectId]/policies, tasks/[taskId]/history and tasks/[taskId]/setup contain no live-data calls.
Completes the second agreed objective alongside **E6** and **D8**. Depends on **H1** and **H2**, since there are no real releases to display until they exist.","1. Show the real releases produced by H1 on the project export list and the individual export view.
2. Show the policy actually in force, as set in B2, and the governance posture from G2.
3. Verify rather than rebuild — the task history and setup screens already read that task's real activity.
4. Reconcile the figures on these screens with the task screen and the dashboard.
5. Depends on H1 and H2; there are no real releases to display until they exist.",,,,SCRUM-108,shipped
I1,I,P0,GOV,I can re-run the whole workflow against known cases,"As a quality lead, I want to run a scripted scenario through the entire workflow and check the outcome against what should have happened, because testing individual pieces tells me nothing about whether the workflow holds together.","1. A scenario can run end-to-end — annotation, review, cross-validation, dispute, final judgement — without manual clicking.
2. Each scenario states its expected outcome and reports pass or fail.
3. Results are comparable across runs, so a regression is visible.",No open defects — net-new; nothing of this kind exists.,"1. Build a harness that drives a scenario end to end without manual clicking.
2. Cover annotation, review, cross-validation, dispute and final judgement in a single run.
3. State the expected outcome per scenario and report pass or fail.
4. Keep results comparable across runs so a regression is visible.
5. Reset to a clean seeded database between runs — depends on A3.",,,,"SCRUM-68, SCRUM-69",shipped
I2,I,P0,GOV,The platform is tested against cases designed to break it,"As a quality lead, I want a casebook of deliberately difficult cases, because a system demonstrated on easy items proves nothing about the ones that matter.","1. The casebook covers, at minimum: a confidently wrong AI suggestion; a genuinely ambiguous item; reviewers who disagree with no guideline resolution; a guideline that changes after annotation; missing provenance; an unreviewed item reaching a proposed release; a release containing a superseded item.
2. Each case has a stated expected outcome and runs through I1.
3. The casebook grows toward the 40–60 cases the brief specifies.",No open defects — net-new. These adversarial categories are taken directly from the brief.,"1. Write the adversarial categories the brief names, starting with a confidently wrong AI suggestion.
2. Cover a genuinely ambiguous item, and reviewers who disagree with no guideline resolution.
3. Cover a guideline changed after annotation, and an item with missing provenance.
4. Cover an unreviewed item reaching a proposed release, and a release containing a superseded item.
5. Use the gold fixtures in labeling_ai_assistnat_mvp/app/data/text/ — four 200-item sets with ground truth, already shaped in hej's own vocabulary.
6. Grow toward the 40–60 cases the brief specifies, each ticket contributing the cases for its own surface as it lands.",,,,"SCRUM-70, SCRUM-71",shipped
I3,I,P1,GOV,I can tell whether reviewers actually agree,"As a quality lead, I want reviewer agreement measured properly rather than as a raw match percentage, because raw agreement flatters any task where one answer dominates.","1. Agreement is reported using an established coefficient, not percentage match.
2. Agreement is reported per task and comparable across tasks.
3. AI suggestion quality and confidence calibration are reported alongside human agreement.",No open defects — net-new; depends on the cross-validation routing in **D7**.,"1. Report agreement with an established coefficient rather than raw percentage match.
2. Report per task and comparably across tasks.
3. Report AI suggestion quality and confidence calibration alongside human agreement.
4. Measure against the gold annotations in the fixture sets.
5. Depends on D7's cross-validation routing.",,,,SCRUM-72,shipped
