Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Development),Custom field (Issue color),Custom field (Rank),Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Custom field (Vulnerability),Parent,Parent key,Parent summary,Status Category,Status Category Changed
Port the MVP's four text tasks behind the interface,SCRUM-56,10084,Subtask,To Do,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,,,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,06/Sep/26 11:30 PM,06/Sep/26 11:30 PM,,,,0,,,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,,,,,,,,,,0|i0009j:,W6,,,,,,10034,SCRUM-6,AI-Provider: Integrate labeling_ai_assistnat_mvp as an AI provider,To Do,06/Sep/26 11:30 PM
Replace the Gemini call with an OpenAI-compatible client,SCRUM-55,10083,Subtask,To Do,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,,,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,06/Sep/26 11:30 PM,06/Sep/26 11:30 PM,,,,0,,,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,,,,,,,,,,0|i0009b:,W6,,,,,,10034,SCRUM-6,AI-Provider: Integrate labeling_ai_assistnat_mvp as an AI provider,To Do,06/Sep/26 11:30 PM
Define the AnnotationAssistant interface,SCRUM-54,10082,Subtask,To Do,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,,,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,06/Sep/26 11:29 PM,06/Sep/26 11:29 PM,,,,0,,,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,,,,,,,,,,0|i00093:,W6,,,,,,10034,SCRUM-6,AI-Provider: Integrate labeling_ai_assistnat_mvp as an AI provider,To Do,06/Sep/26 11:29 PM
Provenance: Source versioning,SCRUM-53,10081,Task,To Do,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,,,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,06/Sep/26 10:06 PM,07/Sep/26 3:04 AM,06/Sep/26 11:14 PM,,,0,"Related to user story F2

Create immutable guideline versions and attach the effective guideline/source version to AI, annotation and review records",,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,,,,,,,,,,,0|i000c6:r,,,,,,,10044,SCRUM-16,Provenance & Audit History,To Do,06/Sep/26 10:06 PM
Dispute: Adjudicator queue and authorization,SCRUM-52,10080,Task,To Do,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,,,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,06/Sep/26 10:05 PM,07/Sep/26 3:03 AM,,,,0,"Related to user story D8, E3, E6, G1

Show assigned disputes, verify adjudicator role, open real cases and allow an authorized decision",,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,,,,,,,,,,,0|i000ce:v,,,,,,,10042,SCRUM-14,"Review, Dispute & Adjudication",To Do,06/Sep/26 10:05 PM
Review: Independent second reviewer,SCRUM-51,10079,Task,To Do,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,,,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,06/Sep/26 10:03 PM,07/Sep/26 3:03 AM,,,,0,"Related to user story D7 and E1

Apply configured sampling percentage, hide the first decision until the second decision is submitted, and detect disagreement",,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,,,,,,,,,,,0|i000ce:r,,,,,,,10042,SCRUM-14,"Review, Dispute & Adjudication",To Do,06/Sep/26 10:03 PM
Policy: Apply configured governance rules,SCRUM-50,10078,Task,To Do,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,,,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,06/Sep/26 10:01 PM,07/Sep/26 3:00 AM,07/Sep/26 3:23 AM,,,0,"Related to user story B2 and G2

Make approval count, cross-review percentage, disagreement handling and escalation posture affect the workflow rather than only being displayed 

Collab with project admin",,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,,,,,,,,,,,0|i000gf:,,,,,,,10039,SCRUM-11,"Project, Policy & Task Lifecycle",To Do,06/Sep/26 10:01 PM
"Review: Execute accept, adjust, reject and dispute transitions",SCRUM-49,10077,Task,To Do,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,,,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,06/Sep/26 9:58 PM,07/Sep/26 3:03 AM,,,,0,"Related to user story C5, D3, E1

Connect the Review page and API; persist each action; move the item to the correct next state; return the next item to review",,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,,,,,,,,,,,0|i000ce:i,,,,,,,10042,SCRUM-14,"Review, Dispute & Adjudication",To Do,06/Sep/26 9:58 PM
Review: Assign or claim work and provide role queues,SCRUM-48,10076,Task,To Do,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,,,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,06/Sep/26 9:57 PM,07/Sep/26 3:03 AM,,,,0,"Related to user story D8

Store current assignee/claim, show “my work”, support reviewer and adjudicator queues, record reassignment history and enforce role compatibility",,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,,,,,,,,,,,0|i000ce:,,,,,,,10042,SCRUM-14,"Review, Dispute & Adjudication",To Do,06/Sep/26 9:57 PM
Annotation: Connect the existing text annotation page to live APIs,SCRUM-47,10075,Task,To Do,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,,,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,06/Sep/26 9:56 PM,07/Sep/26 2:52 AM,,,,0,"Load source text and AI result, create/update draft, save progress and submit the item for review without mock data",,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,,,,,,,,,,,0|i000ef:,,,,,,,10041,SCRUM-13,Annotation & Human Judgement,To Do,06/Sep/26 9:56 PM
Task queue: Trigger an AI run and route completed items to review,SCRUM-46,10074,Task,To Do,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,,,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,06/Sep/26 9:51 PM,07/Sep/26 3:00 AM,,,,0,"Related to user story C2

start-AI action/API; enqueue all task items; store results; move successful items into the human-review stage; keep failed items visible",,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,,,,,,,,,,,0|i000fj:,,,,,,,10040,SCRUM-12,AI Annotation Pipeline,To Do,06/Sep/26 9:51 PM
Project lifecycle: Update and archive a project,SCRUM-45,10073,Task,To Do,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,,,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,06/Sep/26 9:48 PM,07/Sep/26 3:00 AM,07/Sep/26 11:25 PM,,,0,"Related to user story J4

Rename/update project, update its policy, archive completed projects, make archived projects read-only and record changes in history",,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,,,,,,,,,,,0|i000g7:,,,,,,,10039,SCRUM-11,"Project, Policy & Task Lifecycle",To Do,06/Sep/26 9:48 PM
Organisation Management: Users can only perform actions that are permitted by their roles.,SCRUM-44,10072,Task,In Review,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,Jingwei Lin,712020:a3a41120-888a-4688-8ba9-1762665aa1c0,Jingwei Lin,712020:a3a41120-888a-4688-8ba9-1762665aa1c0,Jingwei Lin,712020:a3a41120-888a-4688-8ba9-1762665aa1c0,06/Sep/26 9:39 PM,06/Sep/26 10:09 PM,09/Sep/26 7:48 PM,,,0,"G1

# Approving, disputing, adjudicating and releasing each require the appropriate role.
# A user without the required role is refused with a clear message rather than silently allowed.
# Adding a new role later doesn't require reworking the workflow.

Issue 7",,Jingwei Lin,712020:a3a41120-888a-4688-8ba9-1762665aa1c0,,,,,,,,,,,0|i00043:,W6,,,,,,10046,SCRUM-18,Organisation Management,In Progress,06/Sep/26 10:09 PM
Release & Export: Align task completion and export readiness,SCRUM-43,10071,Task,To Do,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,,,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,06/Sep/26 6:04 PM,07/Sep/26 3:04 AM,06/Sep/26 11:14 PM,,,0,"A task marked complete that reports zero finished items destroys confidence in every other number the platform shows. Deliberately one ticket across two stories. Task completion and export readiness must end up using the same rule, and splitting them is how two rules got written in the first place.

Stories *B6* — “Done” means the same thing everywhere I look · *H5* — Export figures agree with the rest of the platform
Issues *19*, *27*, *14*",,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,,,,,,,,,,,0|i000c6:z,,,,,,,10045,SCRUM-17,Dataset Release & Export,To Do,06/Sep/26 6:04 PM
Release & Export: Basic functionality,SCRUM-42,10070,Task,To Do,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,,,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,06/Sep/26 5:48 PM,07/Sep/26 3:04 AM,06/Sep/26 11:35 PM,,,0,"Container ticket covering the release object, its manifest, the pre-release gate and the export screens. OVERSIZED — carries four stories, all P0, all net-new. Split before estimating; see the recommended split below.

Story *H1* — A release is a fixed thing I can point at
Issues none

h4. Recommended split for SCRUM-42

Four stories, all P0, all net-new. There is no release object in the codebase at all — today's export list is computed live from task status, so nothing is ever written or frozen. This is the largest greenfield build in the project.",,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,,,,,,,,,,,0|i000c6:y,,,,,,,10045,SCRUM-17,Dataset Release & Export,To Do,06/Sep/26 5:48 PM
Provenance: Remove duplicate escalation audit changes,SCRUM-41,10069,Task,To Do,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,,,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,06/Sep/26 5:48 PM,07/Sep/26 1:23 PM,06/Sep/26 11:14 PM,,,0,"Escalation entries repeat their own summary as a change, which adds noise and makes real changes harder to spot. Small; pairs with SCRUM-40.

Story *F4* — History tells me who really did what
Issues *22*",,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,,,,,,,,,,,0|i000c6:x,,,,,,,10044,SCRUM-16,Provenance & Audit History,To Do,06/Sep/26 5:48 PM
Provenance: Record correct audit actor types,SCRUM-40,10068,Task,To Do,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,,,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,06/Sep/26 5:48 PM,07/Sep/26 1:23 PM,06/Sep/26 11:14 PM,,,0,"When a reviewer submits a corrected value, it's appended as truncated text to a notes field — the stored and exported annotation stays the original, unreviewed value.

Story *F4* — History tells me who really did what
Issues *21*",,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,,,,,,,,,,,0|i000c6:v,,,,,,,10044,SCRUM-16,Provenance & Audit History,To Do,06/Sep/26 5:48 PM
Provenance: Item-level provenance timeline,SCRUM-39,10067,Task,To Do,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,,,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,06/Sep/26 5:48 PM,07/Sep/26 11:37 PM,06/Sep/26 11:33 PM,,,0,Related to user Story F1,,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,,,,,,,,,,,0|i000c6:i,,,,,,,10044,SCRUM-16,Provenance & Audit History,To Do,06/Sep/26 5:48 PM
"Provenance: Preserve AI, annotator, reviewer and adjudicator outputs separately",SCRUM-38,10066,Task,To Do,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,,,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,06/Sep/26 5:48 PM,07/Sep/26 3:04 AM,,,,0,"Collapsing the AI suggestion, the human decision and the reviewer correction into one value destroys the only evidence of what human judgement actually contributed.

Story *F3* — The AI's suggestion, the human's answer and the reviewer's correction stay separate
Issues *4*, *5*",,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,,,,,,,,,,,0|i000c6:,,,,,,,10044,SCRUM-16,Provenance & Audit History,To Do,06/Sep/26 5:48 PM
Provenance: Guarantee one canonical answer per task item,SCRUM-37,10065,Task,To Do,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,,,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,06/Sep/26 5:47 PM,07/Sep/26 3:04 AM,,,,0,"An export containing two conflicting ""final"" answers for the same item is unusable for training and indefensible to an auditor. Export tracks one slot per annotator rather than one canonical value per item. Depends on the SCRUM-27 client decision.

Story *H4* — Every released item has exactly one authoritative answer
Issues *4*",,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,,,,,,,,,,,0|i000c5:,,,,,,,10044,SCRUM-16,Provenance & Audit History,To Do,06/Sep/26 5:47 PM
Dispute: Basic Functionality ,SCRUM-36,10064,Task,To Do,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,,,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,06/Sep/26 5:36 PM,07/Sep/26 3:04 AM,07/Sep/26 2:23 AM,,,0,"Related to user story E1, E3, E4, E5, E6

Container ticket covering automatic disagreement detection, adjudication records, preserving disagreement, escalation posture and the dispute screens. OVERSIZED — carries five stories. Split before estimating; see the recommended split below.",,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,,,,,,,,,,,0|i000c3:,,,,,,,10042,SCRUM-14,"Review, Dispute & Adjudication",To Do,06/Sep/26 5:36 PM
"Dispute / Annotation: Implement ""Dispute & send back to annotator""",SCRUM-35,10063,Task,In Progress,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,Parth,712020:31379b73-52b1-497c-adec-f657d3cf3124,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,06/Sep/26 5:35 PM,07/Sep/26 1:09 PM,07/Sep/26 1:11 PM,,,0,"Not every dispute should be settled by an expert overruling — sometimes the right outcome is the original annotator redoing it with guidance. Users currently hit a placeholder. Smallest ticket on the board. The backend endpoint and the typed API client both already exist; only the click handler is missing.

Story *E2* — I can send an item back to the annotator
Issues *15*",,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,,,,,,,,,,,0|i00073:,W6,,,,,,10042,SCRUM-14,"Review, Dispute & Adjudication",In Progress,07/Sep/26 3:02 AM
Task Lifecycle: Make dataset registration transactional,SCRUM-34,10062,Task,In Progress,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,Kanishka Kathait,712020:53d02d47-8757-44b7-a5a5-b57a63b98fbe,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,06/Sep/26 5:07 PM,07/Sep/26 1:18 PM,07/Sep/26 1:16 PM,,,0,"A batch that half-loaded leaves a task nobody can trust and no way to tell which items are real.

Story *B5* — Loading a dataset either works or leaves nothing behind
Issues *16*",,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,,,,,,,,,,,0|i0004j:,W6,,,,,,10039,SCRUM-11,"Project, Policy & Task Lifecycle",In Progress,07/Sep/26 3:00 AM
Review: Persist reviewer corrections as structured data,SCRUM-32,10060,Task,To Do,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,,,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,06/Sep/26 5:04 PM,07/Sep/26 1:23 PM,,,,0,"A reviewer can correct an item, watch it finalise, and find the correction nowhere in the result. It is appended as truncated text to a notes field while the item advances anyway. Depends on the same client decision as SCRUM-27 for who authors the corrected value.

Story *D3* — The correction I make is the answer that gets saved
Issues *5*",,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,,,,,,,,,,,0|i000cd:,,,,,,,10042,SCRUM-14,"Review, Dispute & Adjudication",To Do,06/Sep/26 5:04 PM
"Review: Record verdict, feedback & justification",SCRUM-31,10059,Task,In Progress,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,Parth,712020:31379b73-52b1-497c-adec-f657d3cf3124,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,06/Sep/26 5:03 PM,07/Sep/26 1:09 PM,07/Sep/26 1:10 PM,,,0,"The client's stated purpose for collecting human judgement is capturing how people reason — not harvesting yes/no answers. Confirm with the client whether justification is required on accept, or only on reject, modify and dispute.

Story *C5* — I can record why I decided, not just what I decided
Issues none",,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,,,,,,,,,,,0|i00077:,W6,,,,,,10042,SCRUM-14,"Review, Dispute & Adjudication",In Progress,07/Sep/26 3:02 AM
"AI-Provider: Store & Display AI suggestions, failures and unavailable states",SCRUM-30,10058,Task,In Progress,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,Michael,712020:caa6edab-aef4-41b3-931a-595264910708,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,06/Sep/26 4:18 PM,07/Sep/26 4:30 PM,09/Sep/26 6:40 PM,,,0,"A reviewer must be able to tell ""the AI suggested this"" from ""there is no AI result"" at a glance. Today the two are indistinguishable. Pairs with SCRUM-7, which stops the fabrication at source.

Story *C3* — I'm told when the AI failed instead of being shown a fake answer
Issues none",,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,,,,,,,,,,,0|i0006d:,W6,,,,,,10041,SCRUM-13,Annotation & Human Judgement,In Progress,07/Sep/26 3:02 AM
Review: Retire or restrict legacy review mutation endpoints,SCRUM-29,10057,Task,In Progress,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,Jingwei Lin,712020:a3a41120-888a-4688-8ba9-1762665aa1c0,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,06/Sep/26 4:08 PM,07/Sep/26 3:13 AM,07/Sep/26 3:13 AM,,,0,"A second, older set of review endpoints lets any organisation member edit or delete an approved review without touching item status, so approval history and official state can silently diverge.

Story *D2* — Approval history can't be rewritten behind my back
Issues *8*",,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,,,,,,,,,,,0|i0004c:,W6,,,,,,10042,SCRUM-14,"Review, Dispute & Adjudication",In Progress,07/Sep/26 3:04 AM
Annotation: Preventing finalized annotations from being overwritten,SCRUM-28,10056,Task,In Progress,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,06/Sep/26 4:08 PM,09/Sep/26 6:53 PM,09/Sep/26 8:59 PM,,,0,"A ""locked"" answer that a later submission can quietly change means no exported label can be defended.

Story *D5* — Finalised means finalised
Issues *2*",,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,,,,,,,,,,,0|i0005n:,W6,,,,,,10041,SCRUM-13,Annotation & Human Judgement,In Progress,07/Sep/26 3:01 AM
Review / Annotation: Reviewer should be able to select the correct submitted annotation,SCRUM-27,10055,Task,To Do,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,,,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,06/Sep/26 4:08 PM,07/Sep/26 1:23 PM,07/Sep/26 3:18 AM,,,0,"On a double-annotated item the platform cannot reliably tell which annotation is the current one — the pick is effectively random. A reviewer could approve the wrong person's submission with no sign anything went wrong. BLOCKED on a client decision: one canonical annotation per item, or per-annotator submissions? SCRUM-37 and provenance both wait on the same answer.

Story *D4* — I know I'm reviewing the right person's work
Issues *3*, *11*",,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,,,,,,,,,,,0|i000c7:,,,,,,,10042,SCRUM-14,"Review, Dispute & Adjudication",To Do,06/Sep/26 4:08 PM
Annotation: Make draft submission and annotation creation atomic,SCRUM-26,10054,Task,In Progress,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,06/Sep/26 4:08 PM,07/Sep/26 1:19 PM,09/Sep/26 9:00 PM,,,0,"Draft status, the annotation and the item status are three separate commits today, and the draft's link back to its own annotation is never saved. The missing link is the same root cause as SCRUM-27, reached from the other direction.

Story *D5* — Finalised means finalised
Issues *11*",,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,,,,,,,,,,,0|i0005j:,W6,,,,,,10041,SCRUM-13,Annotation & Human Judgement,In Progress,07/Sep/26 3:01 AM
Annotation: Enforce draft ownership,SCRUM-25,10053,Task,In Progress,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,06/Sep/26 4:08 PM,07/Sep/26 1:19 PM,09/Sep/26 9:00 PM,,,0,"Any active member of the organisation can currently edit, delete or submit another user's unfinished draft — including submitting it before they are ready.

Story *D6* — My unfinished work is mine
Issues *6*",,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,,,,,,,,,,,0|i0005b:,W6,,,,,,10041,SCRUM-13,Annotation & Human Judgement,In Progress,07/Sep/26 3:01 AM
Task Lifecycle: Implement valid task lifecycle transitions,SCRUM-24,10052,Task,To Do,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,,,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,06/Sep/26 4:03 PM,07/Sep/26 3:00 AM,,,,0,"A task stays a draft forever today, so dataset intake never closes and the in_review / ready / disputed states the export dashboard is built around can never occur. Raise the intended path with the client before implementing — issues.md flags this as a product decision.

Story *B4* — My task moves through real states, not just “draft”
Issues *28*",,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,,,,,,,,,,,0|i000fz:,,,,,,,10039,SCRUM-11,"Project, Policy & Task Lifecycle",To Do,06/Sep/26 4:03 PM
Task Lifecycle: Preserve lifecycle conflict responses as HTTP 409,SCRUM-23,10051,Task,In Progress,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,Kanishka Kathait,712020:53d02d47-8757-44b7-a5a5-b57a63b98fbe,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,06/Sep/26 4:03 PM,07/Sep/26 1:19 PM,07/Sep/26 3:14 AM,,,0,"A deliberate ""intake is closed for this task"" is currently converted into a 500, so clients and alerting cannot tell an invalid workflow transition from an outage. Small; pairs naturally with SCRUM-34.

Story *B5* — Loading a dataset either works or leaves nothing behind
Issues *29*",,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,,,,,,,,,,,0|i0004l:,W6,,,,,,10039,SCRUM-11,"Project, Policy & Task Lifecycle",In Progress,07/Sep/26 3:00 AM
